run,cold_start_ms,hot_start_ms,time_saved_ms
1,19633,6950,12683
2,15762,3935,11827
3,16058,5330,10728
4,11436,7664,3772
5,11833,7404,4429
6,12964,10935,2029
7,13320,11377,1943
8,16823,10753,6070
9,12716,15250,-2534
10,11057,6664,4393
11,15311,10797,4514
12,11086,7448,3638
13,10212,7693,2519
14,15559,12499,3060
15,14292,11849,2443
16,10616,12118,-1502
17,11186,10750,436
18,11628,12230,-602
19,11358,3785,7573
20,11112,11872,-760
21,12479,12136,343
22,10075,4111,5964
23,11986,10815,1171
24,10152,9422,730
25,11317,10780,537
26,10243,10167,76
27,10340,10789,-449
28,10984,10401,583
29,10377,10390,-13
30,10701,9321,1380
31,10269,10047,222
32,10154,11749,-1595
33,10103,10443,-340
34,10775,9872,903
35,10329,10186,143
36,10033,10636,-603
37,10467,10567,-100
38,10130,3118,7012
39,10110,10652,-542
40,10986,10379,607
41,9338,3136,6202
42,10592,10758,-166
43,10404,10020,384
44,10194,10875,-681
45,10533,9824,709
46,10712,10482,230
47,10723,10819,-96
48,10054,10507,-453
49,10234,3005,7229
50,10486,9182,1304
51,9977,10117,-140
52,10743,10312,431
53,10399,9110,1289
54,10559,10077,482
55,10323,10313,10
56,10529,9152,1377
57,10701,10294,407
58,10683,10104,579
59,10905,10876,29
60,11049,10808,241
61,11140,10956,184
62,11057,9987,1070
63,11048,2914,8134
64,9870,10185,-315
65,10204,10901,-697
66,10769,9212,1557
67,10861,2951,7910
68,10625,10877,-252
69,9872,10275,-403
70,10761,10486,275
71,10443,10535,-92
72,11024,10490,534
73,10051,10539,-488
74,10470,10797,-327
75,10034,9361,673
76,10835,3080,7755
77,10693,10485,208
78,10939,3121,7818
79,10159,2958,7201
80,9148,10422,-1274
81,10774,11074,-300
82,10814,10220,594
83,10800,2946,7854
84,10528,10443,85
85,9922,10137,-215
86,10826,10093,733
87,10388,10925,-537
88,11035,10941,94
89,10600,3083,7517
90,10754,9994,760
91,11074,3081,7993
92,10490,10066,424
93,10453,9865,588
94,9150,10510,-1360
95,9789,2907,6882
96,9873,10210,-337
97,10493,11006,-513
98,10055,9322,733
99,10362,3058,7304
100,10550,10683,-133
